hostname,vip
hzscaca0901.albatross.10086.cn,HZAC2
hzscaca0902.albatross.10086.cn,HZAC2
hzscaca1001.albatross.10086.cn,HZAC1
hzscaca1002.albatross.10086.cn,HZAC1
hzscaca1101.albatross.10086.cn,HZAC1
hzscaca1102.albatross.10086.cn,HZAC1
hzscaca1103.albatross.10086.cn,HZAC1
hzscaca1201.albatross.10086.cn,HZAC1
hzscaca1202.albatross.10086.cn,HZAC1
hzscaca1203.albatross.10086.cn,HZAC1
hzscaca1301.albatross.10086.cn,HZAC1
hzscaca1302.albatross.10086.cn,HZAC1
hzscaca1303.albatross.10086.cn,HZAC1
hzscaca1401.albatross.10086.cn,HZAC1
hzscaca1402.albatross.10086.cn,HZAC1
hzscaca1403.albatross.10086.cn,HZAC1
hzscaca1501.albatross.10086.cn,HZAC2
hzscaca1502.albatross.10086.cn,HZAC2
hzscaca1503.albatross.10086.cn,HZAC2
hzscaca1504.albatross.10086.cn,HZAC2
hzscaca1505.albatross.10086.cn,HZAC1
hzscaca1601.albatross.10086.cn,HZAC2
hzscaca1602.albatross.10086.cn,HZAC2
hzscaca1603.albatross.10086.cn,HZAC2
hzscaca1604.albatross.10086.cn,HZAC2
hzscaca1701.albatross.10086.cn,HZAC2
hzscaca1702.albatross.10086.cn,HZAC2
hzscaca1703.albatross.10086.cn,HZAC2
hzscaca1704.albatross.10086.cn,HZAC2
hzscaca1801.albatross.10086.cn,HZAC6
hzscaca1802.albatross.10086.cn,HZAC6
hzscaca1803.albatross.10086.cn,HZAC5
hzscaca1804.albatross.10086.cn,HZAC5
hzscaca1805.albatross.10086.cn,HZAC5
hzscacb0801.albatross.10086.cn,HZAC4
hzscacb0802.albatross.10086.cn,HZAC4
hzscacb0803.albatross.10086.cn,HZAC3
hzscacb0804.albatross.10086.cn,HZAC3
hzscacb0805.albatross.10086.cn,HZAC3
hzscacb0806.albatross.10086.cn,HZAC2
hzscacb0901.albatross.10086.cn,HZAC4
hzscacb0902.albatross.10086.cn,HZAC4
hzscacb0903.albatross.10086.cn,HZAC3
hzscacb0904.albatross.10086.cn,HZAC3
hzscacb0905.albatross.10086.cn,HZAC3
hzscacb1001.albatross.10086.cn,HZAC4
hzscacb1002.albatross.10086.cn,HZAC4
hzscacb1003.albatross.10086.cn,HZAC3
hzscacb1004.albatross.10086.cn,HZAC3
hzscacb1005.albatross.10086.cn,HZAC3
hzscacb1101.albatross.10086.cn,HZAC4
hzscacb1102.albatross.10086.cn,HZAC4
hzscacb1103.albatross.10086.cn,HZAC4
hzscacb1104.albatross.10086.cn,HZAC3
hzscacb1105.albatross.10086.cn,HZAC3
hzscacb1201.albatross.10086.cn,HZAC4
hzscacb1202.albatross.10086.cn,HZAC4
hzscacb1203.albatross.10086.cn,HZAC4
hzscacb1204.albatross.10086.cn,HZAC3
hzscacb1205.albatross.10086.cn,HZAC3
hzscacb1301.albatross.10086.cn,HZAC4
hzscacb1302.albatross.10086.cn,HZAC4
hzscacb1303.albatross.10086.cn,HZAC4
hzscacb1304.albatross.10086.cn,HZAC3
hzscacb1305.albatross.10086.cn,HZAC3
hzscacb1401.albatross.10086.cn,HZAC6
hzscacb1402.albatross.10086.cn,HZAC6
hzscacb1403.albatross.10086.cn,HZAC5
hzscacb1404.albatross.10086.cn,HZAC5
hzscacb1405.albatross.10086.cn,HZAC5
hzscacb1501.albatross.10086.cn,HZAC6
hzscacb1502.albatross.10086.cn,HZAC6
hzscacb1503.albatross.10086.cn,HZAC5
hzscacb1504.albatross.10086.cn,HZAC5
hzscacb1505.albatross.10086.cn,HZAC5
hzscacb1601.albatross.10086.cn,HZAC6
hzscacb1602.albatross.10086.cn,HZAC6
hzscacb1603.albatross.10086.cn,HZAC6
hzscacb1604.albatross.10086.cn,HZAC5
hzscacb1605.albatross.10086.cn,HZAC5
hzscacb1701.albatross.10086.cn,HZAC6
hzscacb1702.albatross.10086.cn,HZAC6
hzscacb1703.albatross.10086.cn,HZAC6
hzscacb1704.albatross.10086.cn,HZAC5
hzscacb1705.albatross.10086.cn,HZAC5
hzscacb1801.albatross.10086.cn,HZAC6
hzscacb1802.albatross.10086.cn,HZAC6
hzscacb1803.albatross.10086.cn,HZAC6
hzscacb1804.albatross.10086.cn,HZAC5
hzscacb1805.albatross.10086.cn,HZAC5
njscac4m0901.albatross.10086.cn,NJAC2
njscac4m0902.albatross.10086.cn,NJAC2
njscac4m1001.albatross.10086.cn,NJAC1
njscac4m1002.albatross.10086.cn,NJAC1
njscac4m1101.albatross.10086.cn,NJAC1
njscac4m1102.albatross.10086.cn,NJAC1
njscac4m1103.albatross.10086.cn,NJAC1
njscac4m1201.albatross.10086.cn,NJAC1
njscac4m1202.albatross.10086.cn,NJAC1
njscac4m1203.albatross.10086.cn,NJAC1
njscac4m1301.albatross.10086.cn,NJAC1
njscac4m1302.albatross.10086.cn,NJAC1
njscac4m1303.albatross.10086.cn,NJAC1
njscac4m1401.albatross.10086.cn,NJAC1
njscac4m1402.albatross.10086.cn,NJAC1
njscac4m1403.albatross.10086.cn,NJAC1
njscac4m1501.albatross.10086.cn,NJAC2
njscac4m1502.albatross.10086.cn,NJAC2
njscac4m1503.albatross.10086.cn,NJAC2
njscac4m1504.albatross.10086.cn,NJAC2
