hostname,vip
lfscac010101.gala.convection.cn,LFVIP1
lfscac010102.gala.convection.cn,LFVIP1
lfscac010103.gala.convection.cn,LFVIP1
lfscac010201.gala.convection.cn,LFVIP1
lfscac010202.gala.convection.cn,LFVIP1
lfscac010203.gala.convection.cn,LFVIP1
lfscac010301.gala.convection.cn,LFVIP1
lfscac010302.gala.convection.cn,LFVIP1
lfscac010303.gala.convection.cn,LFVIP1
lfscac010401.gala.convection.cn,LFVIP1
lfscac010402.gala.convection.cn,LFVIP1
lfscac010403.gala.convection.cn,LFVIP1
lfscac011201.gala.convection.cn,LFVIP3
lfscac011202.gala.convection.cn,LFVIP3
lfscac011203.gala.convection.cn,LFVIP3
lfscac011301.gala.convection.cn,LFVIP3
lfscac011302.gala.convection.cn,LFVIP3
lfscac011303.gala.convection.cn,LFVIP3
lfscac011401.gala.convection.cn,LFVIP2
lfscac011402.gala.convection.cn,LFVIP2
lfscac011403.gala.convection.cn,LFVIP2
lfscac011501.gala.convection.cn,LFVIP3
lfscac011502.gala.convection.cn,LFVIP3
lfscac011503.gala.convection.cn,LFVIP3
lfscac011601.gala.convection.cn,LFVIP3
lfscac011602.gala.convection.cn,LFVIP3
lfscac011603.gala.convection.cn,LFVIP3
lfscac011701.gala.convection.cn,LFVIP3
lfscac011702.gala.convection.cn,LFVIP3
lfscac011703.gala.convection.cn,LFVIP3
lfscac011801.gala.convection.cn,LFVIP4
lfscac011802.gala.convection.cn,LFVIP4
lfscac011803.gala.convection.cn,LFVIP4
lfscac011901.gala.convection.cn,LFVIP4
lfscac011902.gala.convection.cn,LFVIP4
lfscac011903.gala.convection.cn,LFVIP4
lfscac012001.gala.convection.cn,LFVIP4
lfscac012002.gala.convection.cn,LFVIP4
lfscac012003.gala.convection.cn,LFVIP4
lfscac012101.gala.convection.cn,LFVIP4
lfscac012102.gala.convection.cn,LFVIP4
lfscac012103.gala.convection.cn,LFVIP4
lfscac020101.gala.convection.cn,LFVIP1
lfscac020102.gala.convection.cn,LFVIP1
lfscac020103.gala.convection.cn,LFVIP1
lfscac020201.gala.convection.cn,LFVIP2
lfscac020202.gala.convection.cn,LFVIP2
lfscac020203.gala.convection.cn,LFVIP2
lfscac020301.gala.convection.cn,LFVIP2
lfscac020302.gala.convection.cn,LFVIP2
lfscac020303.gala.convection.cn,LFVIP2
lfscac020401.gala.convection.cn,LFVIP2
lfscac020402.gala.convection.cn,LFVIP2
lfscac020403.gala.convection.cn,LFVIP2
