Hostname,IP,Set,Stripe
njscss4m0901,172.18.74.1,1,1
njscss4m0905,172.18.74.5,1,1
njscss4m1001,172.18.74.9,1,1
njscss4m1005,172.18.74.13,1,1
njscss4m1101,172.18.74.17,1,1
njscss4m1105,172.18.74.21,1,1
njscss4m1201,172.18.74.25,1,1
njscss4m1205,172.18.74.29,1,1
njscss4m1301,172.18.74.33,1,1
njscss4m1305,172.18.74.37,1,1
njscss4m1401,172.18.74.41,1,1
njscss4m1405,172.18.74.45,1,1
tjscssa0501,172.16.74.41,1,1
tjscssa0505,172.16.74.45,1,1
tjscssa0601,172.16.74.33,1,1
tjscssa0605,172.16.74.37,1,1
tjscssa0701,172.16.74.25,1,1
tjscssa0705,172.16.74.29,1,1
tjscssa0801,172.16.74.17,1,1
tjscssa0805,172.16.74.21,1,1
tjscssa0901,172.16.74.9,1,1
tjscssa0905,172.16.74.13,1,1
tjscssa1001,172.16.74.1,1,1
tjscssa1005,172.16.74.5,1,1
hzscssa0901,172.20.74.1,1,1
hzscssa0905,172.20.74.5,1,1
hzscssa1001,172.20.74.9,1,1
hzscssa1005,172.20.74.13,1,1
hzscssa1101,172.20.74.17,1,1
hzscssa1105,172.20.74.21,1,1
hzscssa1201,172.20.74.25,1,1
hzscssa1205,172.20.74.29,1,1
hzscssa1301,172.20.74.33,1,1
hzscssa1305,172.20.74.37,1,1
hzscssa1401,172.20.74.41,1,1
hzscssa1405,172.20.74.45,1,1
njscss4m0902,172.18.74.2,1,2
njscss4m0906,172.18.74.6,1,2
njscss4m1002,172.18.74.10,1,2
njscss4m1006,172.18.74.14,1,2
njscss4m1102,172.18.74.18,1,2
njscss4m1106,172.18.74.22,1,2
njscss4m1202,172.18.74.26,1,2
njscss4m1206,172.18.74.30,1,2
njscss4m1302,172.18.74.34,1,2
njscss4m1306,172.18.74.38,1,2
njscss4m1402,172.18.74.42,1,2
njscss4m1406,172.18.74.46,1,2
tjscssa0502,172.16.74.42,1,2
tjscssa0506,172.16.74.46,1,2
