ip,set-stripe
172.16.64.1,set1-Stripe1
172.16.64.2,set1-Stripe2
172.16.64.3,set1-Stripe3
172.16.64.4,set1-Stripe4
172.16.64.5,set1-Stripe1
172.16.64.6,set1-Stripe2
172.16.64.7,set1-Stripe3
172.16.64.8,set1-Stripe4
172.16.64.9,set1-Stripe1
172.16.64.10,set1-Stripe2
172.16.64.11,set1-Stripe3
172.16.64.12,set1-Stripe4
172.16.64.13,set1-Stripe1
172.16.64.14,set1-Stripe2
172.16.64.15,set1-Stripe3
172.16.64.16,set1-Stripe4
172.16.64.17,set1-Stripe1
172.16.64.18,set1-Stripe2
172.16.64.19,set1-Stripe3
172.16.64.20,set1-Stripe4
172.16.64.21,set1-Stripe1
172.16.64.22,set1-Stripe2
172.16.64.23,set1-Stripe3
172.16.64.24,set1-Stripe4
172.16.65.1,set2-Stripe1
172.16.65.2,set2-Stripe2
172.16.65.3,set2-Stripe3
172.16.65.4,set2-Stripe4
172.16.65.5,set2-Stripe5
172.16.65.6,set3-Stripe1
172.16.65.7,set3-Stripe2
172.16.65.8,set3-Stripe3
172.16.65.9,set3-Stripe4
172.16.65.10,set3-Stripe5
172.16.65.11,set2-Stripe1
172.16.65.12,set2-Stripe2
172.16.65.13,set2-Stripe3
172.16.65.14,set2-Stripe4
172.16.65.15,set2-Stripe5
172.16.65.16,set3-Stripe1
172.16.65.17,set3-Stripe2
172.16.65.18,set3-Stripe3
172.16.65.19,set3-Stripe4
172.16.65.20,set3-Stripe5
172.16.65.21,set2-Stripe1
172.16.65.22,set2-Stripe2
172.16.65.23,set2-Stripe3
172.16.65.24,set2-Stripe4
172.16.65.25,set2-Stripe5
172.16.65.26,set3-Stripe1
172.16.65.27,set3-Stripe2
172.16.65.28,set3-Stripe3
172.16.65.29,set3-Stripe4
172.16.65.30,set3-Stripe5
172.16.65.31,set2-Stripe1
172.16.65.32,set2-Stripe2
172.16.65.33,set2-Stripe3
172.16.65.34,set2-Stripe4
172.16.65.35,set2-Stripe5
172.16.65.36,set3-Stripe1
172.16.65.37,set3-Stripe2
172.16.65.38,set3-Stripe3
172.16.65.39,set3-Stripe4
172.16.65.40,set3-Stripe5
172.16.65.41,set2-Stripe1
172.16.65.42,set2-Stripe2
172.16.65.43,set2-Stripe3
172.16.65.44,set2-Stripe4
172.16.65.45,set2-Stripe5
172.16.65.46,set3-Stripe1
172.16.65.47,set3-Stripe2
172.16.65.48,set3-Stripe3
172.16.66.1,set3-Stripe4
172.16.66.2,set3-Stripe5
172.16.66.3,set2-Stripe1
172.16.66.4,set2-Stripe2
172.16.66.5,set2-Stripe3
172.16.66.6,set2-Stripe4
172.16.66.7,set2-Stripe5
172.16.66.8,set3-Stripe1
172.16.66.9,set3-Stripe2
172.16.66.10,set3-Stripe3
172.16.66.11,set3-Stripe4
172.16.66.12,set3-Stripe5
172.16.64.25,set1-Stripe1
172.16.64.26,set1-Stripe2
172.16.64.27,set1-Stripe3
172.16.64.28,set1-Stripe4
172.16.64.29,set1-Stripe1
172.16.64.30,set1-Stripe2
172.16.64.31,set1-Stripe3
172.16.64.32,set1-Stripe4
172.16.64.33,set1-Stripe1
172.16.64.34,set1-Stripe2
172.16.64.35,set1-Stripe3
172.16.64.36,set1-Stripe4
172.16.64.37,set1-Stripe1
172.16.64.38,set1-Stripe2
172.16.64.39,set1-Stripe3
172.16.64.40,set1-Stripe4
172.16.64.41,set1-Stripe1
172.16.64.42,set1-Stripe2
172.16.64.43,set1-Stripe3
172.16.64.44,set1-Stripe4
172.16.64.45,set1-Stripe1
172.16.64.46,set1-Stripe2
172.16.64.47,set1-Stripe3
172.16.64.48,set1-Stripe4
172.16.66.13,set2-Stripe1
172.16.66.14,set2-Stripe2
172.16.66.15,set2-Stripe3
172.16.66.16,set2-Stripe4
172.16.66.17,set2-Stripe5
172.16.66.18,set3-Stripe1
172.16.66.19,set3-Stripe2
172.16.66.20,set3-Stripe3
172.16.66.21,set3-Stripe4
172.16.66.22,set3-Stripe5
172.16.66.23,set2-Stripe1
172.16.66.24,set2-Stripe2
172.16.66.25,set2-Stripe3
172.16.66.26,set2-Stripe4
172.16.66.27,set2-Stripe5
172.16.66.28,set3-Stripe1
172.16.66.29,set3-Stripe2
172.16.66.30,set3-Stripe3
172.16.66.31,set3-Stripe4
172.16.66.32,set3-Stripe5
172.16.66.33,set2-Stripe1
172.16.66.34,set2-Stripe2
172.16.66.35,set2-Stripe3
172.16.66.36,set2-Stripe4
172.16.66.37,set2-Stripe5
172.16.66.38,set3-Stripe1
172.16.66.39,set3-Stripe2
172.16.66.40,set3-Stripe3
172.16.66.41,set3-Stripe4
172.16.66.42,set3-Stripe5
172.16.66.43,set2-Stripe1
172.16.66.44,set2-Stripe2
172.16.66.45,set2-Stripe3
172.16.66.46,set2-Stripe4
172.16.66.47,set2-Stripe5
172.16.66.48,set3-Stripe1
172.16.67.1,set3-Stripe2
172.16.67.2,set3-Stripe3
172.16.67.3,set3-Stripe4
172.16.67.4,set3-Stripe5
172.16.67.5,set2-Stripe1
172.16.67.6,set2-Stripe2
172.16.67.7,set2-Stripe3
172.16.67.8,set2-Stripe4
