Hostname,IP,Set,Stripe
lfscss010101,172.16.64.1,1,1
lfscss010102,172.16.64.2,1,2
lfscss010103,172.16.64.3,1,3
lfscss010104,172.16.64.4,1,4
lfscss010105,172.16.64.5,1,1
lfscss010106,172.16.64.6,1,2
lfscss010201,172.16.64.7,1,3
lfscss010202,172.16.64.8,1,4
lfscss010203,172.16.64.9,1,1
lfscss010204,172.16.64.10,1,2
lfscss010205,172.16.64.11,1,3
lfscss010206,172.16.64.12,1,4
lfscss010301,172.16.64.13,1,1
lfscss010302,172.16.64.14,1,2
lfscss010303,172.16.64.15,1,3
lfscss010304,172.16.64.16,1,4
lfscss010305,172.16.64.17,1,1
lfscss010306,172.16.64.18,1,2
lfscss010401,172.16.64.19,1,3
lfscss010402,172.16.64.20,1,4
lfscss010403,172.16.64.21,1,1
lfscss010404,172.16.64.22,1,2
lfscss010405,172.16.64.23,1,3
lfscss010406,172.16.64.24,1,4
lfscss011201,172.16.65.1,2,1
lfscss011202,172.16.65.2,2,2
lfscss011203,172.16.65.3,2,3
lfscss011204,172.16.65.4,2,4
lfscss011205,172.16.65.5,2,5
lfscss011206,172.16.65.6,3,1
lfscss011301,172.16.65.7,3,2
lfscss011302,172.16.65.8,3,3
lfscss011303,172.16.65.9,3,4
lfscss011304,172.16.65.10,3,5
lfscss011305,172.16.65.11,2,1
lfscss011306,172.16.65.12,2,2
lfscss011401,172.16.65.13,2,3
lfscss011402,172.16.65.14,2,4
lfscss011403,172.16.65.15,2,5
lfscss011404,172.16.65.16,3,1
lfscss011405,172.16.65.17,3,2
lfscss011406,172.16.65.18,3,3
lfscss011501,172.16.65.19,3,4
lfscss011502,172.16.65.20,3,5
lfscss011503,172.16.65.21,2,1
lfscss011504,172.16.65.22,2,2
lfscss011505,172.16.65.23,2,3
lfscss011506,172.16.65.24,2,4
lfscss011601,172.16.65.25,2,5
lfscss011602,172.16.65.26,3,1
lfscss011603,172.16.65.27,3,2
lfscss011604,172.16.65.28,3,3
lfscss011605,172.16.65.29,3,4
lfscss011606,172.16.65.30,3,5
lfscss011701,172.16.65.31,2,1
lfscss011702,172.16.65.32,2,2
lfscss011703,172.16.65.33,2,3
lfscss011704,172.16.65.34,2,4
lfscss011705,172.16.65.35,2,5
lfscss011706,172.16.65.36,3,1
lfscss011801,172.16.65.37,3,2
lfscss011802,172.16.65.38,3,3
lfscss011803,172.16.65.39,3,4
lfscss011804,172.16.65.40,3,5
lfscss011805,172.16.65.41,2,1
lfscss011806,172.16.65.42,2,2
lfscss011901,172.16.65.43,2,3
lfscss011902,172.16.65.44,2,4
lfscss011903,172.16.65.45,2,5
lfscss011904,172.16.65.46,3,1
lfscss011905,172.16.65.47,3,2
lfscss011906,172.16.65.48,3,3
lfscss012001,172.16.66.1,3,4
lfscss012002,172.16.66.2,3,5
lfscss012003,172.16.66.3,2,1
lfscss012004,172.16.66.4,2,2
lfscss012005,172.16.66.5,2,3
lfscss012006,172.16.66.6,2,4
lfscss012101,172.16.66.7,2,5
lfscss012102,172.16.66.8,3,1
lfscss012103,172.16.66.9,3,2
lfscss012104,172.16.66.10,3,3
lfscss012105,172.16.66.11,3,4
lfscss012106,172.16.66.12,3,5
lfscss020101,172.16.64.25,1,1
lfscss020102,172.16.64.26,1,2
lfscss020103,172.16.64.27,1,3
lfscss020104,172.16.64.28,1,4
lfscss020105,172.16.64.29,1,1
lfscss020106,172.16.64.30,1,2
lfscss020201,172.16.64.31,1,3
lfscss020202,172.16.64.32,1,4
lfscss020203,172.16.64.33,1,1
lfscss020204,172.16.64.34,1,2
lfscss020205,172.16.64.35,1,3
lfscss020206,172.16.64.36,1,4
lfscss020301,172.16.64.37,1,1
lfscss020302,172.16.64.38,1,2
lfscss020303,172.16.64.39,1,3
lfscss020304,172.16.64.40,1,4
lfscss020305,172.16.64.41,1,1
lfscss020306,172.16.64.42,1,2
lfscss020401,172.16.64.43,1,3
lfscss020402,172.16.64.44,1,4
lfscss020403,172.16.64.45,1,1
lfscss020404,172.16.64.46,1,2
lfscss020405,172.16.64.47,1,3
lfscss020406,172.16.64.48,1,4
lfscss021201,172.16.66.13,2,1
lfscss021202,172.16.66.14,2,2
lfscss021203,172.16.66.15,2,3
lfscss021204,172.16.66.16,2,4
lfscss021205,172.16.66.17,2,5
lfscss021206,172.16.66.18,3,1
lfscss021301,172.16.66.19,3,2
lfscss021302,172.16.66.20,3,3
lfscss021303,172.16.66.21,3,4
lfscss021304,172.16.66.22,3,5
lfscss021305,172.16.66.23,2,1
lfscss021306,172.16.66.24,2,2
lfscss021401,172.16.66.25,2,3
lfscss021402,172.16.66.26,2,4
lfscss021403,172.16.66.27,2,5
lfscss021404,172.16.66.28,3,1
lfscss021405,172.16.66.29,3,2
lfscss021406,172.16.66.30,3,3
lfscss021501,172.16.66.31,3,4
lfscss021502,172.16.66.32,3,5
lfscss021503,172.16.66.33,2,1
lfscss021504,172.16.66.34,2,2
lfscss021505,172.16.66.35,2,3
lfscss021506,172.16.66.36,2,4
lfscss021601,172.16.66.37,2,5
lfscss021602,172.16.66.38,3,1
lfscss021603,172.16.66.39,3,2
lfscss021604,172.16.66.40,3,3
lfscss021605,172.16.66.41,3,4
lfscss021606,172.16.66.42,3,5
lfscss021701,172.16.66.43,2,1
lfscss021702,172.16.66.44,2,2
lfscss021703,172.16.66.45,2,3
lfscss021704,172.16.66.46,2,4
lfscss021705,172.16.66.47,2,5
lfscss021706,172.16.66.48,3,1
lfscss021801,172.16.67.1,3,2
lfscss021802,172.16.67.2,3,3
lfscss021803,172.16.67.3,3,4
lfscss021804,172.16.67.4,3,5
lfscss021805,172.16.67.5,2,1
lfscss021806,172.16.67.6,2,2
lfscss021901,172.16.67.7,2,3
lfscss021902,172.16.67.8,2,4
lfscss021903,172.16.67.9,2,5
lfscss021904,172.16.67.10,3,1
lfscss021905,172.16.67.11,3,2
lfscss021906,172.16.67.12,3,3
lfscss022001,172.16.67.13,3,4
lfscss022002,172.16.67.14,3,5
lfscss022003,172.16.67.15,2,1
lfscss022004,172.16.67.16,2,2
lfscss022005,172.16.67.17,2,3
lfscss022006,172.16.67.18,2,4
lfscss022101,172.16.67.19,2,5
lfscss022102,172.16.67.20,3,1
lfscss022103,172.16.67.21,3,2
lfscss022104,172.16.67.22,3,3
lfscss022105,172.16.67.23,3,4
lfscss022106,172.16.67.24,3,5
lfscss031401,172.16.67.25,4,1
lfscss031402,172.16.67.26,4,2
lfscss031403,172.16.67.27,4,3
lfscss031404,172.16.67.28,4,4
lfscss031405,172.16.67.29,5,1
lfscss031406,172.16.67.30,5,2
lfscss031501,172.16.67.31,5,3
lfscss031502,172.16.67.32,5,4
lfscss031503,172.16.67.33,4,1
lfscss031504,172.16.67.34,4,2
lfscss031505,172.16.67.35,4,3
lfscss031506,172.16.67.36,4,4
lfscss031601,172.16.67.37,5,1
lfscss031602,172.16.67.38,5,2
lfscss031603,172.16.67.39,5,3
lfscss031604,172.16.67.40,5,4
lfscss031605,172.16.67.41,4,1
lfscss031606,172.16.67.42,4,2
lfscss031701,172.16.67.43,4,3
lfscss031702,172.16.67.44,4,4
lfscss031703,172.16.67.45,5,1
lfscss031704,172.16.67.46,5,2
lfscss031705,172.16.67.47,5,3
lfscss031706,172.16.67.48,5,4
lfscss031801,172.16.68.1,4,1
lfscss031802,172.16.68.2,4,2
lfscss031803,172.16.68.3,4,3
lfscss031804,172.16.68.4,4,4
lfscss031805,172.16.68.5,5,1
lfscss031806,172.16.68.6,5,2
lfscss031901,172.16.68.7,5,3
lfscss031902,172.16.68.8,5,4
lfscss031903,172.16.68.9,4,1
lfscss031904,172.16.68.10,4,2
lfscss031905,172.16.68.11,4,3
lfscss031906,172.16.68.12,4,4
lfscss032001,172.16.68.13,5,1
lfscss032002,172.16.68.14,5,2
lfscss032003,172.16.68.15,5,3
lfscss032004,172.16.68.16,5,4
lfscss032005,172.16.68.17,4,1
lfscss032006,172.16.68.18,4,2
lfscss032101,172.16.68.19,4,3
lfscss032102,172.16.68.20,4,4
lfscss032103,172.16.68.21,5,1
lfscss032104,172.16.68.22,5,2
lfscss032105,172.16.68.23,5,3
lfscss032106,172.16.68.24,5,4
lfscss041401,172.16.68.25,4,1
lfscss041402,172.16.68.26,4,2
lfscss041403,172.16.68.27,4,3
lfscss041404,172.16.68.28,4,4
lfscss041405,172.16.68.29,5,1
lfscss041406,172.16.68.30,5,2
lfscss041501,172.16.68.31,5,3
lfscss041502,172.16.68.32,5,4
lfscss041503,172.16.68.33,4,1
lfscss041504,172.16.68.34,4,2
lfscss041505,172.16.68.35,4,3
lfscss041506,172.16.68.36,4,4
lfscss041601,172.16.68.37,5,1
lfscss041602,172.16.68.38,5,2
lfscss041603,172.16.68.39,5,3
lfscss041604,172.16.68.40,5,4
lfscss041605,172.16.68.41,4,1
lfscss041606,172.16.68.42,4,2
lfscss041701,172.16.68.43,4,3
lfscss041702,172.16.68.44,4,4
lfscss041703,172.16.68.45,5,1
lfscss041704,172.16.68.46,5,2
lfscss041705,172.16.68.47,5,3
lfscss041706,172.16.68.48,5,4
