set,set,disk_order,hostname,device
Set61,Set61,8,tsscss031501,sdx
Set61,Set61,19,tsscss031501,sdw
Set61,Set61,41,tsscss031501,sdy
Set61,Set61,22,tsscss031501,sdl
Set61,Set61,42,tsscss031501,sdo
Set61,Set61,11,tsscss031501,sdk
Set61,Set61,24,tsscss031501,sdj
Set61,Set61,34,tsscss031501,sdd
Set61,Set61,40,tsscss031501,sdf
Set61,Set61,7,tsscss031501,sdb
Set61,Set61,28,tsscss031501,sdc
Set61,Set61,9,tsscss031501,sdi
Set61,Set61,26,tsscss031501,sde
Set61,Set61,10,tsscss031501,sdg
Set61,Set61,20,tsscss031501,sdm
Set61,Set61,13,tsscss031501,sdh
Set61,Set61,38,tsscss031501,sdn
Set62,Set62,0,tsscss031502,sda
Set62,Set62,10,tsscss031502,sdag
Set62,Set62,42,tsscss031502,sdai
Set62,Set62,3,tsscss031502,sdaq
Set62,Set62,1,tsscss031502,sdan
Set62,Set62,4,tsscss031502,sdap
Set62,Set62,13,tsscss031502,sdak
Set62,Set62,40,tsscss031502,sdal
Set62,Set62,12,tsscss031502,sdad
Set62,Set62,32,tsscss031502,sdam
Set62,Set62,24,tsscss031502,sdao
Set62,Set62,15,tsscss031502,sdaf
Set62,Set62,19,tsscss031502,sdaj
Set62,Set62,30,tsscss031502,sdae
Set62,Set62,41,tsscss031502,sdah
Set62,Set62,7,tsscss031502,sdb
Set62,Set62,34,tsscss031502,sdc
Set62,Set62,38,tsscss031502,sdd
Set62,Set62,21,tsscss031502,sde
Set62,Set62,17,tsscss031502,sdf
Set62,Set62,39,tsscss031502,sdg
Set62,Set62,6,tsscss031502,sdh
Set62,Set62,5,tsscss031502,sdi
Set62,Set62,37,tsscss031502,sdj
Set62,Set62,36,tsscss031502,sdk
Set62,Set62,35,tsscss031502,sdl
Set62,Set62,16,tsscss031502,sdm
Set62,Set62,20,tsscss031502,sdn
Set62,Set62,31,tsscss031502,sdo
Set62,Set62,28,tsscss031502,sdp
Set62,Set62,22,tsscss031502,sdq
Set62,Set62,2,tsscss031502,sdr
Set62,Set62,11,tsscss031502,sds
Set62,Set62,27,tsscss031502,sdt
Set62,Set62,26,tsscss031502,sdu
Set62,Set62,14,tsscss031502,sdv
Set62,Set62,25,tsscss031502,sdw
Set62,Set62,8,tsscss031502,sdx
Set62,Set62,18,tsscss031502,sdy
Set62,Set62,33,tsscss031502,sdz
Set62,Set62,9,tsscss031502,sdaa
Set62,Set62,23,tsscss031502,sdab
Set62,Set62,29,tsscss031502,sdac
Set61,Set61,0,tsscss031503,sda
Set61,Set61,34,tsscss031503,sdaq
Set61,Set61,17,tsscss031503,sdap
Set61,Set61,41,tsscss031503,sdao
Set61,Set61,33,tsscss031503,sdan
